,x,y,z
0,-7.430273,-6.964596,8.349577
1,1.189729,13.366331,15.433069
2,25.109549,24.411971,16.577943
3,39.351235,49.75278,24.915375
4,-8.720664,-3.21853,-0.832028
5,-0.100661,17.112397,6.251463
6,23.819158,28.158037,7.396338
7,38.060845,53.498846,15.733769
8,-5.455669,-2.441387,-7.035792
9,2.511309,16.34933,-0.488925
10,26.247655,27.218608,0.60978
11,41.202636,53.828611,9.364791
12,4.778216,-6.023531,-9.208138
13,11.081533,8.843318,-4.028384
14,34.350458,19.263292,-3.047302
15,51.122642,49.106718,6.771544
16,9.993981,-10.177027,-3.633978
17,15.597628,3.039597,0.970822
18,38.669975,13.270611,1.902436
19,56.206403,44.473888,12.16869
20,11.180504,-13.377381,4.107729
21,16.768603,-0.197428,8.699752
22,39.836581,10.029387,9.630267
23,57.389993,41.262883,19.906463
